2019-11-19 10:48:26.664732: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-11-19 10:48:26.826185: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:998] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-11-19 10:48:26.827380: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x6bcbca0 executing computations on platform CUDA. Devices:
2019-11-19 10:48:26.827417: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): Tesla V100-PCIE-32GB, Compute Capability 7.0
2019-11-19 10:48:26.829536: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2200060000 Hz
2019-11-19 10:48:26.831272: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x6c347f0 executing computations on platform Host. Devices:
2019-11-19 10:48:26.831295: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-11-19 10:48:26.831866: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1433] Found device 0 with properties: 
name: Tesla V100-PCIE-32GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
pciBusID: 0000:00:05.0
totalMemory: 31.72GiB freeMemory: 31.41GiB
2019-11-19 10:48:26.831881: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1512] Adding visible gpu devices: 0
2019-11-19 10:48:26.833176: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-11-19 10:48:26.833188: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990]      0 
2019-11-19 10:48:26.833194: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1003] 0:   N 
2019-11-19 10:48:26.833265: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 14616 MB memory) -> physical GPU (device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:00:05.0, compute capability: 7.0)
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From ./src/sample.py:67: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From ./src/sample.py:72: multinomial (from tensorflow.python.ops.random_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.random.categorical instead.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/ops/math_grad.py:102: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
2019-11-19 10:49:13.708551: I tensorflow/stream_executor/dso_loader.cc:152] successfully opened CUDA library libcublas.so.10.0 locally
Loading checkpoint checkpoint/pretrained/model-7760000
Loading dataset...
Training...
[2 | 8.74] loss=3.71111 avg=3.71111
[3 | 9.24] loss=4.11466 avg=3.91390
[4 | 9.74] loss=3.37439 avg=3.73225
[5 | 10.24] loss=3.59860 avg=3.69833
[6 | 10.74] loss=3.48635 avg=3.65508
[7 | 11.24] loss=3.50101 avg=3.62875
[8 | 11.74] loss=3.67867 avg=3.63610
[9 | 12.24] loss=3.64763 avg=3.63759
[10 | 12.75] loss=3.74634 avg=3.65017
[11 | 13.25] loss=3.42791 avg=3.62692
[12 | 13.75] loss=3.71819 avg=3.63564
[13 | 14.25] loss=3.28965 avg=3.60519
[14 | 14.75] loss=3.65763 avg=3.60947
[15 | 15.25] loss=3.70607 avg=3.61683
[16 | 15.76] loss=3.67165 avg=3.62075
[17 | 16.26] loss=3.46500 avg=3.61026
[18 | 16.76] loss=3.80302 avg=3.62254
[19 | 17.26] loss=3.55286 avg=3.61833
[20 | 17.76] loss=3.59485 avg=3.61697
[21 | 18.26] loss=3.69411 avg=3.62121
[22 | 18.76] loss=3.97099 avg=3.63959
[23 | 19.26] loss=3.60483 avg=3.63784
[24 | 19.76] loss=3.65820 avg=3.63883
[25 | 20.26] loss=3.50947 avg=3.63279
[26 | 20.76] loss=3.57082 avg=3.63000
[27 | 21.26] loss=3.55785 avg=3.62687
[28 | 21.76] loss=3.56745 avg=3.62437
[29 | 22.26] loss=3.56203 avg=3.62182
[30 | 22.75] loss=3.85916 avg=3.63121
[31 | 23.25] loss=3.55042 avg=3.62811
[32 | 23.75] loss=3.55990 avg=3.62556
[33 | 24.25] loss=3.06853 avg=3.60531
[34 | 24.76] loss=3.28811 avg=3.59407
[35 | 25.26] loss=3.79049 avg=3.60085
[36 | 25.75] loss=3.71209 avg=3.60460
[37 | 26.25] loss=3.80225 avg=3.61112
[38 | 26.75] loss=3.70147 avg=3.61402
[39 | 27.25] loss=3.50474 avg=3.61058
[40 | 27.76] loss=3.61147 avg=3.61061
[41 | 28.26] loss=3.73139 avg=3.61426
[42 | 28.76] loss=3.37278 avg=3.60711
[43 | 29.26] loss=3.57164 avg=3.60608
[44 | 29.76] loss=3.29274 avg=3.59715
[45 | 30.25] loss=3.22905 avg=3.58685
[46 | 30.75] loss=3.90253 avg=3.59553
[47 | 31.26] loss=3.56049 avg=3.59458
[48 | 31.76] loss=3.53904 avg=3.59310
[49 | 32.26] loss=3.83794 avg=3.59950
[50 | 32.76] loss=3.54556 avg=3.59811
[51 | 33.26] loss=3.60387 avg=3.59826
[52 | 33.76] loss=3.39693 avg=3.59324
[53 | 34.27] loss=3.54622 avg=3.59208
[54 | 34.77] loss=3.66234 avg=3.59379
[55 | 35.27] loss=3.68262 avg=3.59591
[56 | 35.77] loss=3.73887 avg=3.59927
[57 | 36.27] loss=3.86005 avg=3.60533
[58 | 36.77] loss=3.47298 avg=3.60230
[59 | 37.27] loss=3.71247 avg=3.60479
[60 | 37.77] loss=3.44776 avg=3.60128
[61 | 38.27] loss=3.47439 avg=3.59848
[62 | 38.77] loss=3.27054 avg=3.59132
[63 | 39.27] loss=3.37617 avg=3.58668
[64 | 39.77] loss=3.55845 avg=3.58608
[65 | 40.27] loss=3.73377 avg=3.58919
[66 | 40.77] loss=3.52932 avg=3.58795
[67 | 41.27] loss=3.84008 avg=3.59315
[68 | 41.77] loss=3.40056 avg=3.58922
[69 | 42.27] loss=3.48896 avg=3.58719
[70 | 42.77] loss=3.74872 avg=3.59042
[71 | 43.27] loss=3.68392 avg=3.59227
[72 | 43.77] loss=3.40076 avg=3.58852
[73 | 44.27] loss=3.65088 avg=3.58973
[74 | 44.77] loss=3.59360 avg=3.58980
[75 | 45.27] loss=3.70421 avg=3.59198
[76 | 45.77] loss=3.29998 avg=3.58647
[77 | 46.27] loss=3.46352 avg=3.58417
[78 | 46.77] loss=3.44697 avg=3.58162
[79 | 47.27] loss=3.85225 avg=3.58660
[80 | 47.77] loss=3.71921 avg=3.58902
[81 | 48.28] loss=3.43944 avg=3.58631
[82 | 48.78] loss=3.67598 avg=3.58792
[83 | 49.28] loss=3.26643 avg=3.58220
[84 | 49.78] loss=3.30000 avg=3.57721
[85 | 50.28] loss=3.29491 avg=3.57226
[86 | 50.78] loss=3.39281 avg=3.56913
[87 | 51.28] loss=3.56279 avg=3.56902
[88 | 51.78] loss=3.62266 avg=3.56994
[89 | 52.28] loss=3.60087 avg=3.57047
[90 | 52.78] loss=3.55690 avg=3.57024
[91 | 53.28] loss=3.58442 avg=3.57048
[92 | 53.78] loss=3.36360 avg=3.56703
[93 | 54.28] loss=3.43919 avg=3.56491
[94 | 54.79] loss=3.61533 avg=3.56574
[95 | 55.29] loss=3.49993 avg=3.56466
[96 | 55.79] loss=3.82471 avg=3.56889
